location,date,gdp_per_capita,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Austria,2022-12-13,45436.686,77.14,76.32
Belgium,2023-02-06,42658.576,79.49,78.65
Bulgaria,2023-02-05,18563.307,31.06,30.61
Croatia,2023-02-15,22669.797,57.59,55.85
Cyprus,2022-12-21,32415.132,74.88,72.1
Czechia,2023-02-16,32605.906,66.47,65.68
Denmark,2023-02-15,46682.515,81.39,80.79
Estonia,2023-02-13,29481.252,65.54,64.0
Finland,2023-02-15,40585.721,81.66,78.47
France,2023-02-15,38605.671,80.6,78.4
Germany,2023-02-15,45229.245,77.81,76.24
Greece,2023-02-15,24574.382,76.4,73.61
Hungary,2022-12-27,26777.561,64.42,62.28
Ireland,2023-02-15,67335.293,81.78,80.83
Italy,2023-02-16,35220.084,86.18,81.26
Latvia,2022-07-11,25063.846,72.74,70.57
Lithuania,2023-02-15,29524.265,71.16,68.37
Luxembourg,2023-02-10,94277.965,74.42,71.44
Malta,2023-02-14,36513.323,89.76,88.4
Netherlands,2022-09-02,48472.545,72.74,68.08
Poland,2023-02-15,27216.445,57.38,56.8
Portugal,2023-02-10,27936.896,95.21,86.59
Romania,2023-02-05,23313.199,41.64,41.28
Slovakia,2022-07-31,30155.152,46.0,45.68
Slovenia,2022-07-05,31400.84,59.71,57.66
Spain,2023-02-08,34272.36,86.93,85.64
Sweden,2023-02-12,46949.283,74.11,72.38
