location,date,new_deaths
Austria,2020-07-20,0.0
Austria,2020-07-21,5.0
Austria,2020-07-22,3.0
Austria,2020-07-23,0.0
Austria,2020-07-24,1.0
Austria,2020-07-25,2.0
Austria,2020-07-26,0.0
Austria,2020-07-27,2.0
Austria,2020-07-28,0.0
Austria,2020-07-29,3.0
Austria,2020-07-30,0.0
Austria,2020-07-31,1.0
Austria,2020-08-01,4.0
Austria,2020-08-02,4.0
Austria,2020-08-03,3.0
Austria,2020-08-04,2.0
Austria,2020-08-05,2.0
Austria,2020-08-06,0.0
Austria,2020-08-07,1.0
Austria,2020-08-08,2.0
Austria,2020-08-09,4.0
Austria,2020-08-10,2.0
Austria,2020-08-11,1.0
Austria,2020-08-12,0.0
Austria,2020-08-13,2.0
Austria,2020-08-14,2.0
Austria,2020-08-15,3.0
Austria,2020-08-16,1.0
Austria,2020-08-17,1.0
Austria,2020-08-18,1.0
Austria,2020-08-19,1.0
Austria,2020-08-20,2.0
Austria,2020-08-21,2.0
Austria,2020-08-22,2.0
Austria,2020-08-23,3.0
Austria,2020-08-24,2.0
Austria,2020-08-25,2.0
Austria,2020-08-26,5.0
Austria,2020-08-27,0.0
Austria,2020-08-28,0.0
Austria,2020-08-29,0.0
Austria,2020-08-30,1.0
Austria,2020-08-31,0.0
Austria,2020-09-01,0.0
Austria,2020-09-02,3.0
Austria,2020-09-03,2.0
Austria,2020-09-04,2.0
Austria,2020-09-05,1.0
Austria,2020-09-06,5.0
Austria,2020-09-07,1.0
Austria,2020-09-08,2.0
Austria,2020-09-09,0.0
Austria,2020-09-10,1.0
Austria,2020-09-11,1.0
Austria,2020-09-12,4.0
Austria,2020-09-13,4.0
Austria,2020-09-14,4.0
Austria,2020-09-15,1.0
Austria,2020-09-16,1.0
Austria,2020-09-17,1.0
Austria,2020-09-18,5.0
Austria,2020-09-19,5.0
Austria,2020-09-20,4.0
Austria,2020-09-21,3.0
Austria,2020-09-22,5.0
Austria,2020-09-23,4.0
Austria,2020-09-24,3.0
Austria,2020-09-25,5.0
Austria,2020-09-26,6.0
Austria,2020-09-27,5.0
Austria,2020-09-28,5.0
Austria,2020-09-29,6.0
Austria,2020-09-30,2.0
Austria,2020-10-01,6.0
Austria,2020-10-02,3.0
Austria,2020-10-03,8.0
Austria,2020-10-04,6.0
Austria,2020-10-05,5.0
Austria,2020-10-06,10.0
Austria,2020-10-07,10.0
Austria,2020-10-08,11.0
Austria,2020-10-09,8.0
Austria,2020-10-10,11.0
Austria,2020-10-11,9.0
Austria,2020-10-12,8.0
Austria,2020-10-13,14.0
Austria,2020-10-14,10.0
Austria,2020-10-15,7.0
Austria,2020-10-16,8.0
Austria,2020-10-17,7.0
Austria,2020-10-18,10.0
Austria,2020-10-19,16.0
Austria,2020-10-20,9.0
Austria,2020-10-21,15.0
Austria,2020-10-22,13.0
Austria,2020-10-23,20.0
Austria,2020-10-24,19.0
Austria,2020-10-25,20.0
Austria,2020-10-26,16.0
Austria,2020-10-27,23.0
Austria,2020-10-28,26.0
Austria,2020-10-29,31.0
Austria,2020-10-30,35.0
Austria,2020-10-31,43.0
Austria,2020-11-01,41.0
Austria,2020-11-02,52.0
Austria,2020-11-03,33.0
Austria,2020-11-04,41.0
Austria,2020-11-05,56.0
Austria,2020-11-06,65.0
Austria,2020-11-07,61.0
Austria,2020-11-08,46.0
Austria,2020-11-09,75.0
Austria,2020-11-10,55.0
Austria,2020-11-11,80.0
Austria,2020-11-12,72.0
Austria,2020-11-13,91.0
Austria,2020-11-14,99.0
Austria,2020-11-15,99.0
Austria,2020-11-16,96.0
Austria,2020-11-17,85.0
Austria,2020-11-18,104.0
Austria,2020-11-19,105.0
Austria,2020-11-20,95.0
Austria,2020-11-21,117.0
Austria,2020-11-22,127.0
Austria,2020-11-23,118.0
Austria,2020-11-24,104.0
Austria,2020-11-25,122.0
Austria,2020-11-26,105.0
Austria,2020-11-27,123.0
Austria,2020-11-28,120.0
Austria,2020-11-29,130.0
Austria,2020-11-30,136.0
Austria,2020-12-01,121.0
Austria,2020-12-02,135.0
Austria,2020-12-03,144.0
Austria,2020-12-04,138.0
Austria,2020-12-05,145.0
Austria,2020-12-06,139.0
Austria,2020-12-07,123.0
Austria,2020-12-08,106.0
Austria,2020-12-09,132.0
Austria,2020-12-10,117.0
Austria,2020-12-11,133.0
Austria,2020-12-12,122.0
Austria,2020-12-13,139.0
Austria,2020-12-14,105.0
Austria,2020-12-15,104.0
Austria,2020-12-16,118.0
Austria,2020-12-17,97.0
Austria,2020-12-18,105.0
Austria,2020-12-19,108.0
Austria,2020-12-20,96.0
Austria,2020-12-21,96.0
Austria,2020-12-22,91.0
Austria,2020-12-23,89.0
Austria,2020-12-24,114.0
Austria,2020-12-25,99.0
Austria,2020-12-26,86.0
Austria,2020-12-27,70.0
Austria,2020-12-28,94.0
Austria,2020-12-29,64.0
Austria,2020-12-30,89.0
Austria,2020-12-31,83.0
Austria,2021-01-01,78.0
Austria,2021-01-02,73.0
Austria,2021-01-03,69.0
Austria,2021-01-04,69.0
Austria,2021-01-05,57.0
Austria,2021-01-06,75.0
Austria,2021-01-07,61.0
Austria,2021-01-08,69.0
Austria,2021-01-09,72.0
Austria,2021-01-10,52.0
Austria,2021-01-11,48.0
Austria,2021-01-12,60.0
Austria,2021-01-13,69.0
Austria,2021-01-14,72.0
Austria,2021-01-15,64.0
Austria,2021-01-16,61.0
Austria,2021-01-17,63.0
Austria,2021-01-18,70.0
Austria,2021-01-19,52.0
Austria,2021-01-20,65.0
Austria,2021-01-21,57.0
Austria,2021-01-22,45.0
Austria,2021-01-23,64.0
Austria,2021-01-24,52.0
Austria,2021-01-25,71.0
Austria,2021-01-26,52.0
Austria,2021-01-27,52.0
Austria,2021-01-28,58.0
Austria,2021-01-29,51.0
Austria,2021-01-30,50.0
Austria,2021-01-31,56.0
Austria,2021-02-01,45.0
Austria,2021-02-02,58.0
Austria,2021-02-03,51.0
Austria,2021-02-04,59.0
Austria,2021-02-05,36.0
Austria,2021-02-06,38.0
Austria,2021-02-07,36.0
Austria,2021-02-08,39.0
Austria,2021-02-09,40.0
Austria,2021-02-10,37.0
Austria,2021-02-11,40.0
Austria,2021-02-12,43.0
Austria,2021-02-13,37.0
Austria,2021-02-14,34.0
Austria,2021-02-15,35.0
Austria,2021-02-16,31.0
Austria,2021-02-17,34.0
Austria,2021-02-18,28.0
Austria,2021-02-19,38.0
Austria,2021-02-20,30.0
Austria,2021-02-21,23.0
Austria,2021-02-22,34.0
Austria,2021-02-23,32.0
Austria,2021-02-24,36.0
Austria,2021-02-25,36.0
Austria,2021-02-26,36.0
Austria,2021-02-27,28.0
Austria,2021-02-28,25.0
Austria,2021-03-01,32.0
Austria,2021-03-02,32.0
Austria,2021-03-03,23.0
Austria,2021-03-04,30.0
Austria,2021-03-05,27.0
Austria,2021-03-06,24.0
Austria,2021-03-07,30.0
Austria,2021-03-08,34.0
Austria,2021-03-09,23.0
Austria,2021-03-10,24.0
Austria,2021-03-11,32.0
Austria,2021-03-12,30.0
Austria,2021-03-13,35.0
Austria,2021-03-14,32.0
Austria,2021-03-15,33.0
Austria,2021-03-16,30.0
Austria,2021-03-17,35.0
Austria,2021-03-18,33.0
Austria,2021-03-19,40.0
Austria,2021-03-20,30.0
Austria,2021-03-21,43.0
Austria,2021-03-22,30.0
Austria,2021-03-23,36.0
Austria,2021-03-24,39.0
Austria,2021-03-25,22.0
Austria,2021-03-26,28.0
Austria,2021-03-27,37.0
Austria,2021-03-28,28.0
Austria,2021-03-29,29.0
Austria,2021-03-30,34.0
Austria,2021-03-31,37.0
Austria,2021-04-01,33.0
Austria,2021-04-02,38.0
Austria,2021-04-03,36.0
Austria,2021-04-04,42.0
Austria,2021-04-05,38.0
Austria,2021-04-06,47.0
Austria,2021-04-07,32.0
Austria,2021-04-08,25.0
Austria,2021-04-09,50.0
Austria,2021-04-10,36.0
Austria,2021-04-11,36.0
Austria,2021-04-12,34.0
Austria,2021-04-13,39.0
Austria,2021-04-14,35.0
Austria,2021-04-15,33.0
Austria,2021-04-16,40.0
Austria,2021-04-17,33.0
Austria,2021-04-18,34.0
Austria,2021-04-19,39.0
Austria,2021-04-20,28.0
Austria,2021-04-21,30.0
