location,date,new_deaths_per_million
Austria,2021-07-10,0.224
Austria,2021-07-11,0.224
Austria,2021-07-12,0.224
Austria,2021-07-13,0.0
Austria,2021-07-14,0.112
Austria,2021-07-15,0.336
Austria,2021-07-16,0.447
Austria,2021-07-17,0.0
Austria,2021-07-18,0.336
Austria,2021-07-19,0.112
Austria,2021-07-20,0.112
Austria,2021-07-21,0.336
Austria,2021-07-22,0.112
Austria,2021-07-23,0.112
Austria,2021-07-24,0.112
Austria,2021-07-25,0.559
Austria,2021-07-26,0.112
Austria,2021-07-27,0.336
Austria,2021-07-28,0.224
Austria,2021-07-29,0.112
Austria,2021-07-30,0.0
Austria,2021-07-31,0.224
Austria,2021-08-01,0.336
Austria,2021-08-02,0.447
Austria,2021-08-03,0.336
Austria,2021-08-04,0.224
Austria,2021-08-05,0.336
Austria,2021-08-06,0.336
Austria,2021-08-07,0.559
Austria,2021-08-08,0.336
Austria,2021-08-09,0.112
Austria,2021-08-10,0.224
Austria,2021-08-11,0.224
Austria,2021-08-12,0.336
Austria,2021-08-13,0.0
Austria,2021-08-14,0.224
Austria,2021-08-15,0.336
Austria,2021-08-16,0.559
Austria,2021-08-17,0.112
Austria,2021-08-18,0.0
Austria,2021-08-19,0.0
Austria,2021-08-20,0.224
Austria,2021-08-21,0.336
Austria,2021-08-22,0.224
Austria,2021-08-23,0.336
Austria,2021-08-24,0.224
Austria,2021-08-25,0.671
Austria,2021-08-26,0.224
Austria,2021-08-27,0.671
Austria,2021-08-28,0.336
Austria,2021-08-29,0.671
Austria,2021-08-30,1.007
Austria,2021-08-31,0.336
Austria,2021-09-01,0.336
Austria,2021-09-02,0.447
Austria,2021-09-03,0.447
Austria,2021-09-04,0.895
Austria,2021-09-05,0.671
Austria,2021-09-06,1.007
Austria,2021-09-07,1.007
Austria,2021-09-08,0.447
Austria,2021-09-09,0.895
Austria,2021-09-10,0.895
Austria,2021-09-11,1.119
Austria,2021-09-12,1.23
Austria,2021-09-13,0.783
Austria,2021-09-14,0.336
Austria,2021-09-15,1.007
Austria,2021-09-16,1.678
Austria,2021-09-17,1.342
Austria,2021-09-18,1.23
Austria,2021-09-19,1.23
Austria,2021-09-20,0.783
Austria,2021-09-21,2.125
Austria,2021-09-22,1.342
Austria,2021-09-23,1.007
Austria,2021-09-24,1.23
Austria,2021-09-25,1.119
Austria,2021-09-26,1.007
Austria,2021-09-27,1.566
Austria,2021-09-28,1.23
Austria,2021-09-29,0.895
Austria,2021-09-30,1.902
Austria,2021-10-01,0.895
Austria,2021-10-02,1.007
Austria,2021-10-03,1.007
Austria,2021-10-04,1.678
Austria,2021-10-05,1.23
Austria,2021-10-06,0.895
Austria,2021-10-07,1.79
Austria,2021-10-08,0.895
Austria,2021-10-09,1.23
Austria,2021-10-10,0.895
Austria,2021-10-11,1.342
Austria,2021-10-12,1.119
Austria,2021-10-13,1.342
Austria,2021-10-14,2.125
Austria,2021-10-15,1.23
Austria,2021-10-16,1.23
Austria,2021-10-17,1.342
Austria,2021-10-18,2.349
Austria,2021-10-19,2.237
Austria,2021-10-20,1.23
Austria,2021-10-21,1.454
Austria,2021-10-22,1.566
Austria,2021-10-23,1.79
Austria,2021-10-24,2.014
Austria,2021-10-25,1.902
Austria,2021-10-26,2.573
Austria,2021-10-27,1.342
Austria,2021-10-28,2.797
Austria,2021-10-29,3.244
Austria,2021-10-30,1.902
Austria,2021-10-31,1.566
Austria,2021-11-01,3.02
Austria,2021-11-02,2.014
Austria,2021-11-03,2.573
Austria,2021-11-04,2.685
Austria,2021-11-05,4.027
Austria,2021-11-06,3.244
Austria,2021-11-07,3.915
Austria,2021-11-08,3.58
Austria,2021-11-09,3.244
Austria,2021-11-10,3.915
Austria,2021-11-11,4.363
Austria,2021-11-12,3.468
Austria,2021-11-13,7.047
Austria,2021-11-14,6.6
Austria,2021-11-15,6.712
Austria,2021-11-16,5.369
Austria,2021-11-17,5.257
Austria,2021-11-18,5.817
Austria,2021-11-19,6.6
Austria,2021-11-20,6.041
Austria,2021-11-21,7.383
Austria,2021-11-22,5.369
Austria,2021-11-23,7.718
Austria,2021-11-24,7.383
Austria,2021-11-25,7.271
Austria,2021-11-26,6.824
Austria,2021-11-27,8.278
Austria,2021-11-28,8.949
Austria,2021-11-29,6.6
Austria,2021-11-30,7.942
Austria,2021-12-01,8.949
Austria,2021-12-02,5.705
Austria,2021-12-03,8.39
Austria,2021-12-04,8.613
Austria,2021-12-05,7.83
Austria,2021-12-06,7.83
Austria,2021-12-07,6.6
Austria,2021-12-08,7.271
Austria,2021-12-09,7.83
Austria,2021-12-10,7.047
Austria,2021-12-11,6.6
Austria,2021-12-12,6.376
Austria,2021-12-13,5.705
Austria,2021-12-14,4.586
Austria,2021-12-15,5.481
Austria,2021-12-16,5.817
Austria,2021-12-17,4.027
Austria,2021-12-18,4.586
Austria,2021-12-19,3.915
Austria,2021-12-20,3.356
Austria,2021-12-21,4.139
Austria,2021-12-22,3.691
Austria,2021-12-23,3.468
Austria,2021-12-24,2.573
Austria,2021-12-25,2.685
Austria,2021-12-26,2.125
Austria,2021-12-27,2.349
Austria,2021-12-28,2.685
Austria,2021-12-29,2.908
Austria,2021-12-30,2.797
Austria,2021-12-31,1.79
Austria,2022-01-01,3.356
Austria,2022-01-02,1.566
Austria,2022-01-03,0.895
Austria,2022-01-04,1.342
Austria,2022-01-05,2.349
Austria,2022-01-06,1.342
Austria,2022-01-07,1.119
Austria,2022-01-08,1.007
Austria,2022-01-09,1.566
Austria,2022-01-10,0.895
Austria,2022-01-11,1.454
Austria,2022-01-12,1.342
Austria,2022-01-13,1.119
Austria,2022-01-14,1.007
Austria,2022-01-15,1.007
Austria,2022-01-16,1.342
Austria,2022-01-17,0.895
Austria,2022-01-18,1.23
Austria,2022-01-19,0.895
Austria,2022-01-20,0.895
Austria,2022-01-21,1.342
Austria,2022-01-22,0.895
Austria,2022-01-23,1.79
Austria,2022-01-24,1.23
Austria,2022-01-25,1.79
Austria,2022-01-26,1.454
Austria,2022-01-27,1.678
Austria,2022-01-28,1.119
Austria,2022-01-29,2.014
Austria,2022-01-30,2.237
Austria,2022-01-31,1.678
Austria,2022-02-01,1.79
Austria,2022-02-02,1.454
Austria,2022-02-03,1.79
Austria,2022-02-04,2.349
Austria,2022-02-05,2.685
Austria,2022-02-06,1.902
