location,average_containment_index
Austria,50.56796178343953
Belgium,52.37267515923559
Bulgaria,41.18872611464972
Croatia,56.590254777070065
Cyprus,52.68331210191077
Czechia,48.41611464968152
Denmark,48.39923566878984
Estonia,37.88484076433126
Finland,42.34063694267512
France,57.20254777070067
Germany,54.015923566878946
Greece,50.24955414012743
Hungary,48.997006369426785
Ireland,51.4412738853503
Italy,69.21859872611488
Latvia,45.665668789809025
Lithuania,45.872356687898176
Luxembourg,45.974267515923735
Malta,57.0337579617834
Netherlands,49.64292993630581
Poland,48.2775796178345
Portugal,53.248343949044504
Romania,46.368789808917256
Slovakia,52.6726114649682
Slovenia,49.72121019108273
Spain,50.63859872611464
Sweden,46.514649681528674
