location,average_stringency_containment_index
Austria,50.53268518518462
Belgium,36.08923148148156
Bulgaria,32.3569074074076
Croatia,29.586074074074205
Cyprus,40.499750000000084
Czechia,32.861194444444365
Denmark,26.337148148148238
Estonia,30.8989999999999
Finland,36.39872222222243
France,34.899898148148054
Germany,41.21487962962973
Greece,48.7661111111111
Hungary,23.465129629629537
Ireland,29.5523055555557
Italy,46.02869444444427
Latvia,30.160009259259247
Lithuania,27.63568518518541
Luxembourg,37.39613888888904
Malta,36.610361111111246
Netherlands,36.536527777778076
Poland,28.929546296296273
Portugal,33.46356481481477
Romania,36.64921296296308
Slovakia,32.569157407407495
Slovenia,32.15162962962962
Spain,37.1049907407408
Sweden,22.296574074073988
