location,average_stringency_index,average_containment_index,ratio
Austria,56.01476190476197,50.56796178343953,53.29136184410075
Belgium,58.97509554140135,52.37267515923559,55.67388535031847
Bulgaria,56.39333333333328,41.18872611464972,48.7910297239915
Croatia,63.84571428571427,56.59025477707007,60.217984531392176
Cyprus,72.9798507462687,52.68331210191077,62.831581424089734
Czechia,51.05908450704232,48.41611464968152,49.73759957836192
Denmark,55.48579617834392,48.39923566878984,51.94251592356688
Estonia,45.02872611464966,37.88484076433126,41.45678343949046
Finland,48.71528662420375,42.34063694267512,45.52796178343944
France,65.42980891719749,57.20254777070067,61.316178343949076
Germany,57.25012738853513,54.01592356687895,55.63302547770704
Greece,62.37869863013709,50.24955414012743,56.314126385132255
Hungary,59.820499999999925,48.99700636942679,54.40875318471336
Ireland,67.26097902097905,51.4412738853503,59.351126453164675
Italy,73.30127388535044,69.21859872611488,71.25993630573265
Latvia,51.63832167832175,45.66566878980903,48.651995234065396
Lithuania,61.38887096774207,45.872356687898176,53.63061382782013
Luxembourg,50.13783783783781,45.974267515923735,48.05605267688077
Malta,64.52630434782608,57.0337579617834,60.780031154804746
Netherlands,61.071862068965615,49.64292993630581,55.35739600263571
Poland,64.20129496402882,48.2775796178345,56.23943729093166
Portugal,65.38281690140833,53.2483439490445,59.315580425226415
Romania,62.12636986301369,46.368789808917256,54.247579835965475
Slovakia,60.118905109489134,52.6726114649682,56.39575828722867
Slovenia,50.10700636942688,49.72121019108273,49.91410828025481
Spain,60.6573885350319,50.63859872611464,55.64799363057327
Sweden,51.97407643312113,46.514649681528674,49.244363057324904
