location,average_stringency_index
Austria,56.01476190476197
Belgium,58.975095541401345
Bulgaria,56.393333333333274
Croatia,63.84571428571427
Cyprus,72.9798507462687
Czechia,51.05908450704232
Denmark,55.48579617834392
Estonia,45.02872611464966
Finland,48.71528662420375
France,65.42980891719749
Germany,57.25012738853513
Greece,62.378698630137094
Hungary,59.820499999999925
Ireland,67.26097902097905
Italy,73.30127388535044
Latvia,51.63832167832175
Lithuania,61.38887096774207
Luxembourg,50.13783783783781
Malta,64.52630434782608
Netherlands,61.071862068965615
Poland,64.20129496402882
Portugal,65.38281690140833
Romania,62.12636986301369
Slovakia,60.118905109489134
Slovenia,50.10700636942688
Spain,60.6573885350319
Sweden,51.97407643312113
